gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,1,2017-03-03,06:17:06,0.000000,0.000000,0.012604,0,0.000000,06:17:06,77.43473,-1.0646377,87.57402,0.0,33.940184,-118.133386,1.0,9,9.262619,0.39242554,0.17228699,9.262619,0.39242554,0.17228699,-23.71788,48.17047,-22.883224,-0.003479004,0.0005493164,7.6293945e-05,wonhee
1,2,2017-03-03,06:17:07,1.268244,0.664290,1.280848,1,0.566956,06:17:06,77.43473,-1.0646377,87.57402,0.0,33.940183,-118.133381,23.40262,7,9.262619,0.39242554,0.17228699,9.261692839977604,0.3923863017622062,0.17226976319594844,-23.71788,48.17047,-22.883224,-0.003479004,0.0005493164,7.6293945e-05,wonhee
1,3,2017-03-03,06:17:07,1.268244,0.664290,1.282576,1,0.566956,06:17:07,77.112816,-1.157576,89.463486,9.0,33.940183,-118.133381,23.40262,7,9.710068,0.090927124,0.19621277,9.496545852433968,0.23448594879319623,0.1848107952970886,-23.712158,48.442078,-23.068237,-0.003112793,0.0029907227,0.0025177002,wonhee
1,4,2017-03-03,06:17:07,1.268244,0.664290,1.323457,1,0.566956,06:17:07,77.064445,-0.6216649,91.04066,7.0,33.940183,-118.133381,23.40262,7,10.143173,-0.18424988,0.110076904,9.744951307435908,0.07362622542940692,0.15610135069428058,-24.13559,48.249435,-22.516632,-0.0037384033,0.0018920898,0.0008087158,wonhee
1,5,2017-03-03,06:17:07,1.268244,0.664290,1.324097,1,0.566956,06:17:07,77.22511,-1.126906,90.92335,7.0,33.940183,-118.133381,23.40262,7,10.095322,-0.16270447,0.1986084,9.859247907073245,-0.0034686784845869983,0.16996783924303838,-24.0551,48.070908,-22.515488,-0.003250122,0.0017700195,0.00044250488,wonhee
1,6,2017-03-03,06:17:07,1.268244,0.664290,1.305164,1,0.566956,06:17:07,78.40601,-1.5007685,87.75515,7.0,33.940183,-118.133381,23.40262,7,9.217148,0.36131287,0.2416687,9.667360178417367,0.10554411224035712,0.1913952139580379,-23.80867,47.80426,-21.870422,-0.0042266846,0.001159668,0.00032043457,wonhee
1,7,2017-03-03,06:17:07,1.268244,0.664290,1.324294,1,0.566956,06:17:07,77.51692,-0.881222,91.2018,7.0,33.940183,-118.133381,23.40262,7,10.265213,-0.21534729,0.15792847,9.837822379180041,0.014050265164565104,0.18185304133376834,-23.39592,47.45331,-21.7762,-0.0032348633,0.0017700195,0.0019073486,wonhee
2,8,2017-03-03,06:17:08,1.512923,0.990297,1.287959,1,1.243293,06:17:08,78.296135,-1.7244295,88.59918,9.0,33.940182,-118.133375,23.32335,7,9.296112,0.22732544,0.279953,9.687203606792169,0.07334993201448861,0.20912904695133486,-23.39592,47.45331,-21.7762,-0.0033569336,0.0028686523,0.0012969971,wonhee
2,9,2017-03-03,06:17:08,1.512923,0.990297,1.299473,1,1.243293,06:17:08,77.706184,-1.066111,88.75848,9.0,33.940182,-118.133375,23.32335,7,9.384644,0.2033844,0.17468262,9.604201451730615,0.10902270799906974,0.19967924728559455,-23.552322,47.992706,-22.329712,-0.003616333,0.0015258789,0.0012969971,wonhee
2,10,2017-03-03,06:17:08,1.512923,0.990297,1.300113,1,1.243293,06:17:08,77.36782,-1.1498681,89.348816,7.0,33.940182,-118.133375,23.32335,7,9.894318,0.112457275,0.1986084,9.683221781605093,0.10995819623305182,0.19938757586506498,-23.800278,48.168182,-22.698212,-0.003616333,0.0016479492,7.6293945e-05,wonhee
2,11,2017-03-03,06:17:08,1.512923,0.990297,1.270297,1,1.243293,06:17:08,78.15307,-1.6701665,87.756874,9.0,33.940182,-118.133375,23.32335,7,9.102295,0.35653687,0.26560974,9.525595498984565,0.17686383899235827,0.2173560254015715,-23.876572,48.527145,-22.515488,-0.0037384033,0.0017700195,0.0012969971,wonhee
2,12,2017-03-03,06:17:08,1.512923,0.990297,1.274204,1,1.243293,06:17:08,77.86865,-1.1633873,88.53087,9.0,33.940182,-118.133375,23.32335,7,9.422943,0.2416687,0.19142151,9.49779883953566,0.19441196173541836,0.21033337227845325,-23.786926,48.799896,-22.608185,-0.0033569336,0.0022583008,0.0012969971,wonhee
3,13,2017-03-03,06:17:09,1.512923,1.160786,1.303120,1,1.243293,06:17:09,77.63562,-0.77923584,90.341736,7.0,33.940182,-118.133375,23.244083,21,10.02832,-0.059814453,0.13639832,9.64129976851529,0.1256461340844297,0.19033464371345243,-23.784637,48.889923,-22.424316,-0.0041046143,0.0020141602,0.0017852783,wonhee
3,14,2017-03-03,06:17:09,1.512923,1.160786,1.290707,1,1.243293,06:17:09,78.414604,-1.4092335,87.8185,9.0,33.940182,-118.133375,23.244083,21,9.233902,0.3517456,0.22732544,9.531166206722249,0.18676855896057765,0.2003345221208507,-23.950577,48.976135,-22.333145,-0.0037231445,0.0020141602,0.00093078613,wonhee
3,15,2017-03-03,06:17:09,1.512923,1.160786,1.275033,1,1.243293,06:17:09,78.492744,-1.4119909,88.81821,9.0,33.940182,-118.133375,23.244083,21,9.511475,0.19621277,0.23449707,9.525844637932419,0.1893208666693367,0.20956698568385637,-24.283981,49.057007,-22.15004,-0.0034942627,0.0016479492,0.00030517578,wonhee
3,16,2017-03-03,06:17:09,1.512923,1.160786,1.285466,1,1.243293,06:17:09,78.489,-1.0214996,90.33138,7.0,33.940182,-118.133375,23.244083,21,9.930222,-0.057434082,0.17706299,9.635110115502336,0.12264602322300831,0.200784187870527,-24.547195,48.50769,-21.504974,-0.004211426,0.00079345703,0.00019836426,wonhee
3,17,2017-03-03,06:17:09,1.512923,1.160786,1.300248,1,1.243293,06:17:09,78.22214,-0.9308154,91.449715,9.0,33.940182,-118.133375,23.244083,21,10.305893,-0.26081848,0.16749573,9.816344322102486,0.01904039074926457,0.1917902087596475,-24.468994,48.238373,-21.411896,-0.0041046143,0.0016479492,0.0012969971,wonhee
5,18,2017-03-03,06:17:10,0.248723,0.975964,1.278048,1,2.057707,06:17:10,78.36345,-1.4829328,89.22983,7.0,33.94018,-118.133368,23.32071,6,9.611969,0.12921143,0.24885559,9.761128130957145,0.04880535992151594,0.20720759362751806,-24.559784,47.966003,-21.779251,-0.0038604736,0.0021362305,0.0008087158,wonhee
